"Callsign","Sysop","Band","TX","Type","Where","Region","IF(secrecy='9',left(locator,4),locator)","lat","lon",
GM5JPB,GM5JPB,70CM,439.912500,AP,LIVINGSTON,SCOT,IO85,55.9,-3.5,
GW0GTW,GW0GTW,70CM,439.912500,AP,TROFARTH,WM,IO83DF,53.241,-3.746,
GW3ATZ,GW3ATZ,70CM,439.912500,AP,HOPE,WM,IO83,53.1,-3.1,
M0IQF,M0IQF,70CM,439.912500,PX,LUTON,SE,IO91SV,51.895,-0.481,
M0IQF,M0IQF,70CM,439.912500,PX,DUNSTABLE,SE,IO91RV,51.893,-0.506,
M0RVB,M0RVB,70CM,439.987500,PX,LEEDS,NOR,IO93EU,53.841,-1.598,
M0RWV,M0RWV,2M,144.800000,AP,SCARBOROUGH,NOR,IO94TF,54.249,-0.389,
M1AFY,M1AFY,2M,144.800000,AP,EARDISTON,CEN,IO82SH,52.312,-2.432,
M7APR,M7APR,2M,144.800000,AP,SWINDON,SW,IO91DN,51.548,-1.729,
MB7NBA,G0AOZ,6M,50.650000,PN,BAMPTON,SW,IO91FR,51.712,-1.553,
MB7NBA,G0AOZ,70CM,430.200000,PN,BAMPTON,SW,IO91FR,51.712,-1.553,
MB7NBA,G0AOZ,2M,144.950000,PN,BAMPTON,SW,IO91FR,51.712,-1.553,
MB7NBA,G0AOZ,70CM,432.675000,PN,BAMPTON,SW,IO91FR,51.712,-1.553,
MB7NBG,M0HQM,2M,144.950000,PN,CRAWLEY,SE,IO91VC,51.106,-0.187,
MB7NCR,G4APL,2M,144.937500,PN,CATERHAM ON THE HILL,SE,IO91WH,51.298,-0.087,
MB7NDU,GM7LUN,70CM,433.625000,PN,DUNS,SCOT,IO85,55.8,-2.4,
MB7NED,G4EKM,6CM,5675.000000,PN,SUNDERLAND,NOR,IO94GW,54.935,-1.452,
MB7NEG,G7KBR,2M,144.950000,PN,EAST GRINSTEAD,SE,IO91,51.1,-0,
MB7NEL,M0NFI,2M,144.950000,PN,BURNLEY,NOR,IO83,53.8,-2.3,
MB7NEX,M0AHN,2M,144.950000,PN,EXMOUTH,SW,IO80,50.6,-3.4,
MB7NFK,M1CMN,70CM,432.675000,PN,FOLKESTONE,SE,JO01,51.1,1.2,
MB7NGP,M0LTE,2M,144.950000,PN,CHINGFORD,SE,JO01AP,51.648,0.002,
MB7NJD,M0SDJ,70CM,432.675000,PN,BOUGHTON ALUPH,SE,JO01KE,51.188,0.892,
MB7NKL,GM5AUG,4M,70.487500,PN,KILSYTH,SCOT,IO75XX,55.997,-4.037,
MB7NKL,GM5AUG,2M,144.937500,PN,KILSYTH,SCOT,IO75XX,55.997,-4.037,
MB7NLB,G7HMV,2M,144.937500,PN,LEIGHTON BUZZARD,SE,IO91QV,51.906,-0.64,
MB7NMK,M0UKF,2M,144.950000,PN,MILTON KEYNES,SE,IO92OB,52.043,-0.761,
MB7NPW,M0AHN,70CM,430.200000,PN,PEWSEY,SW,IO91,51.3,-1.9,
MB7NPW,M0AHN,6M,50.670000,PN,PEWSEY,SW,IO91,51.3,-1.9,
MB7NPW,M0AHN,4M,70.312500,PN,BEECHINGSTOKE,SW,IO91,51.3,-1.9,
MB7NRG,M0IJS,2M,144.950000,PN,RUGBY,CEN,IO92JJ,52.391,-1.245,
MB7NRP,G6JME,4M,70.487500,PN,DALLINGTON,SE,JO00,51,0.4,
MB7NSB,GM7LUN,70CM,439.900000,PN,GALASHIELS,SCOT,IO85,55.6,-2.9,
MB7NSB,GM7LUN,70CM,432.650000,PN,GALASHIELS,SCOT,IO85,55.6,-2.9,
MB7NSC,G0NZO,2M,144.950000,PN,IBBERTON,SW,IO80UU,50.873,-2.286,
MB7NSC,G0NZO,70CM,439.950000,PN,IBBERTON,SW,IO80UU,50.873,-2.286,
MB7NSC,G0NZO,4M,70.312500,PN,IBBERTON,SW,IO80UU,50.873,-2.286,
MB7NSK,GM7LUN,70CM,432.650000,PN,SELKIRK,SCOT,IO85,55.6,-2.8,
MB7NXX,G8WWQ,2M,144.950000,PN,DAVENTRY,CEN,IO92KG,52.268,-1.165,
MB7PLT,M9TTL,70CM,439.987500,PX,LOUGHTON,SE,JO01,51.7,0.1,
MB7PMF,M0NXN,70CM,439.987500,PX,LEDBURY,CEN,IO82TA,52.038,-2.381,
MB7PMH,G7OCD,70CM,439.987500,PX,MARTLESHAM,EA,JO02PB,52.058,1.28,
MB7PNE,M0NXN,70CM,439.987500,PX,GATESHEAD,NOR,IO94EX,54.965,-1.602,
MB7PNH,M6PIU,70CM,439.987500,PX,NOTTINGHAM,CEN,IO92KW,52.956,-1.135,
MB7PNU,GM8SAU,70CM,439.987500,PX,LOCHMADDY,SCOT,IO67IN,57.553,-7.334,
MB7PSU,GM8SAU,70CM,439.987500,PX,LOCHBOISDALE,SCOT,IO67HC,57.103,-7.348,
MB7PWC,G4VSS,70CM,439.987500,PX,WARRINGTON,NOR,IO83RI,53.34,-2.578,
MB7PWU,M0OFX,70CM,439.987500,PX,LEEDS,NOR,IO93,53.8,-1.4,
MB7RLE,G8XYJ,2M,144.800000,AP,LUDLOW,CEN,IO82PH,52.31,-2.72,
MB7RLU,G8XYJ,2M,144.800000,AP,MUCH WENLOCK,CEN,IO82RO,52.596,-2.564,
MB7ROC,M0LRV,2M,144.800000,AP,OAKHAM,CEN,IO92,52.7,-0.7,
MB7RVM,G8YPK,2M,144.800000,AP,SOUTHEND ON SEA,SE,JO01,51.6,0.6,
MB7RVN,GW0VFF,2M,144.800000,AP,NEATH,WM,IO81,51.7,-3.8,
MB7TV,G0MBA,70CM,432.525000,RN,ST OSYTH,EA,JO01MT,51.801,1.02,
MB7TV,G0MBA,2M,144.500000,RN,ST OSYTH,EA,JO01MT,51.801,1.02,
MB7TW,G1TZC,2M,144.500000,RN,WYTHALL,CEN,IO92BJ,52.384,-1.89,
MB7TX,G6YBC ,2M,144.500000,RN,ATHERTON ,NOR,IO83SM,53.521,-2.485,
MB7UAB,GM4EMX,2M,144.800000,AP,ABERDEEN,SCOT,IO87UC,57.11,-2.285,
MB7UAC,M1CMN,2M,144.800000,AP,FOLKESTONE,SE,JO01OC,51.097,1.201,
MB7UAG,2E0SSD,2M,144.800000,AP,THAME,SW,IO91MR,51.743,-0.967,
MB7UAH,GM7GDE,2M,144.800000,AP,EAST KILBRIDE,SCOT,IO75VS,55.75,-4.23,
